שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אבו ג'ווייעד (שבט),967,ABU JUWEI'ID,6,62,623.0,,,3.0,,,,,,460,,2040057100.0,,699.0,15003711.0,2018,Abu Juway'ad,
אבו גוש,472,ABU GHOSH,1,11,111.0,99.0,444.0,2.0,7543.0,97.0,79.0,7446.0,,280,,2105263481.0,598.0,152.0,10002475.0,2018,Abu Ghosh,
אבו סנאן,473,ABU SINAN,2,24,245.0,99.0,,2.0,13915.0,28.0,11.0,13887.0,,270,,2160776284.0,19.0,252.0,10004315.0,2018,Abu Sinan,
אבו סריחאן (שבט),935,ABU SUREIHAN,6,62,623.0,,,3.0,,,,,,460,,1865057450.0,,699.0,10001937.0,2018,Abu Surayhan,
אבו עבדון (שבט),958,ABU ABDUN,6,62,623.0,,,3.0,,,,,,460,,1850057900.0,,699.0,10001937.0,2018,Abu 'Abdun,
אבו עמאר (שבט),1042,ABU AMMAR,6,62,623.0,,,3.0,,,,,,460,,1950056700.0,,699.0,15003711.0,2018,Abu 'Ammar,
אבו עמרה (שבט),932,ABU AMRE,6,62,623.0,,,3.0,,,,,,460,,1850057100.0,,699.0,10001937.0,2018,Abu 'Amra,
אבו קורינאת (יישוב),1342,ABU QUREINAT,6,62,623.0,68.0,,2.0,1815.0,,,1815.0,,450,,1963656105.0,410.0,624.0,15003711.0,2018,Abu Qureinat,610.0
אבו קורינאת (שבט),968,ABU QUREINAT,6,62,623.0,,,3.0,,,,,,460,,1970056000.0,,699.0,15003711.0,2018,Abu Kuraynat,
אבו רובייעה (שבט),966,ABU RUBEI'A,6,62,623.0,,,3.0,,,,,,460,,2050057200.0,,699.0,10001937.0,2018,Abu Rubay'a,
אבו רוקייק (שבט),961,ABU RUQAYYEQ,6,62,623.0,,,3.0,,,,,,460,,1920056600.0,,699.0,15003711.0,2018,Abu Rukayyek,
