סמל יישוב,יישוב מחושב,תאור קבוצה סטטיסטית,שנת הודעה,Total,2019,2018,2017,2016,2015,2014
,Total,,,1973220,301142,320713,329265,328681,339804,353615
472.0,אבו גוש,Total,,1997,338,284,310,340,323,402
472.0,אבו גוש,-,,4,2,2,-,-,-,-
472.0,אבו גוש,עבירות בטחון,,55,7,9,8,6,15,10
472.0,אבו גוש,עבירות כלכליות,,3,1,-,-,-,2,-
472.0,אבו גוש,עבירות כלפי המוסר,,60,14,5,11,6,8,16
472.0,אבו גוש,עבירות כלפי הרכוש,,575,93,91,94,95,87,115
472.0,אבו גוש,עבירות מין,,33,5,9,4,7,5,3
472.0,אבו גוש,עבירות מרמה,,61,5,9,7,10,14,16
472.0,אבו גוש,עבירות נגד אדם,,8,-,-,2,3,1,2
472.0,אבו גוש,עבירות נגד גוף,,714,113,105,123,138,116,119
472.0,אבו גוש,עבירות סדר ציבורי,,1171,202,167,175,191,185,251
472.0,אבו גוש,עבירות רשוי,,8,-,-,-,-,1,7
472.0,אבו גוש,עבירות תנועה,,14,1,-,2,4,2,5
472.0,אבו גוש,שאר עבירות,,3,-,-,1,-,-,2
473.0,אבו סנאן,Total,,1699,288,260,301,272,291,287
473.0,אבו סנאן,-,,2,1,-,-,-,1,-
473.0,אבו סנאן,עבירות בטחון,,77,17,4,14,14,19,9
473.0,אבו סנאן,עבירות כלכליות,,1,-,-,1,-,-,-
473.0,אבו סנאן,עבירות כלפי המוסר,,225,35,59,37,37,31,26
473.0,אבו סנאן,עבירות כלפי הרכוש,,458,73,69,88,74,70,84
473.0,אבו סנאן,עבירות מין,,7,1,1,1,3,-,1
473.0,אבו סנאן,עבירות מרמה,,30,1,3,9,3,8,6
473.0,אבו סנאן,עבירות נגד אדם,,5,4,-,1,-,-,-
473.0,אבו סנאן,עבירות נגד גוף,,423,68,65,65,81,70,74
473.0,אבו סנאן,עבירות סדר ציבורי,,830,163,112,148,114,150,143
473.0,אבו סנאן,עבירות רשוי,,11,1,2,1,3,2,2
473.0,אבו סנאן,עבירות תנועה,,10,-,3,1,2,1,3
473.0,אבו סנאן,שאר עבירות,,2,1,-,-,-,1,-
182.0,אבן יהודה,Total,,2284,279,285,380,407,458,475
182.0,אבן יהודה,-,,4,-,-,-,1,2,1
182.0,אבן יהודה,סעיפי הגדרה,,5,-,-,3,-,2,-
182.0,אבן יהודה,עבירות בטחון,,2,-,-,2,-,-,-
182.0,אבן יהודה,עבירות כלכליות,,1,-,-,-,-,1,-
182.0,אבן יהודה,עבירות כלפי המוסר,,85,11,24,10,14,9,17
